8075    | 51.143.96.110    | GB | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
8075    | 51.13.65.49      | GB | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
63949   | 45.33.58.23      | US | LINODE-AP Linode	 LLC	 US		
63949   | 178.79.160.36    | US | LINODE-AP Linode	 LLC	 US		
20473   | 95.179.170.117   | US | AS-CHOOPA	 US			
16276   | 139.99.62.107    | CA | OVH	 FR			
15440   | 176.118.198.107  | RU | BALTNETA Customers AS	 LT			
NA      | 127.0.0.1        |    | NA				
14061   | 64.227.47.26     | US | DIGITALOCEAN-ASN	 US			
20473   | 192.248.174.192  | US | AS-CHOOPA	 US			
20473   | 45.76.143.126    | US | AS-CHOOPA	 US			
29802   | 107.155.122.169  | US | HVC-AS	 US			
20473   | 202.182.112.152  | US | AS-CHOOPA	 US			
8764    | 78.62.11.184     | LT | TELIA-LIETUVA	 LT			
3320    | 46.91.40.143     | DE | DTAG Internet service provider operations	 DE			
14061   | 157.245.29.229   | US | DIGITALOCEAN-ASN	 US			
40034   | 204.11.56.48     | VG | CONFLUENCE-NETWORK-INC	 VG			
3209    | 84.61.153.69     | DE | VODANET International IP-Backbone of Vodafone	 DE			
54614   | 135.0.110.58     | CA | CIKTELECOM-CABLE	 CA			
40021   | 209.126.12.123   | US | CONTABO	 US			
24940   | 65.21.104.68     | DE | HETZNER-AS	 DE			
24940   | 157.90.250.13    | DE | HETZNER-AS	 DE			
24940   | 88.99.143.230    | DE | HETZNER-AS	 DE			
5769    | 24.37.174.14     | CA | VIDEOTRON	 CA			
202448  | 93.114.128.122   | CY | MVPS www.mvps.net	 CY			
3320    | 91.15.124.211    | DE | DTAG Internet service provider operations	 DE			
14061   | 134.209.163.68   | US | DIGITALOCEAN-ASN	 US			
396982  | 34.138.21.64     | US | GOOGLE-PRIVATE-CLOUD	 US			
20473   | 104.238.187.54   | US | AS-CHOOPA	 US			
20473   | 144.202.109.88   | US | AS-CHOOPA	 US			
16509   | 54.201.36.182    | US | AMAZON-02	 US			
14061   | 164.90.247.26    | US | DIGITALOCEAN-ASN	 US			
14061   | 157.245.95.30    | US | DIGITALOCEAN-ASN	 US			
15169   | 34.83.172.56     | US | GOOGLE	 US			
20473   | 199.247.0.51     | US | AS-CHOOPA	 US			
16509   | 18.157.201.80    | US | AMAZON-02	 US			
14061   | 164.90.247.27    | US | DIGITALOCEAN-ASN	 US			
20473   | 155.138.139.54   | US | AS-CHOOPA	 US			
14618   | 54.227.143.93    | US | AMAZON-AES	 US			
16509   | 3.13.149.172     | US | AMAZON-02	 US			
29695   | 89.162.88.186    | NO | ALTIBOX_AS Norway	 NO			
2116    | 195.139.206.112  | NO | ASN-CATCHCOM	 NO			
701     | 100.14.74.150    | US | UUNET	 US			
51167   | 207.180.195.165  | DE | CONTABO	 DE			
16509   | 3.127.104.185    | US | AMAZON-02	 US			
8151    | 187.235.101.26   | MX | Uninet S.A. de C.V.	 MX			
7922    | 24.60.55.214     | US | COMCAST-7922	 US			
40021   | 144.126.157.161  | US | CONTABO	 US			
20473   | 136.244.103.252  | US | AS-CHOOPA	 US			
20473   | 45.76.44.142     | US | AS-CHOOPA	 US			
15557   | 89.158.32.44     | FR | LDCOMNET	 FR			
14061   | 157.230.111.222  | US | DIGITALOCEAN-ASN	 US			
14061   | 143.110.216.4    | US | DIGITALOCEAN-ASN	 US			
51167   | 161.97.156.52    | DE | CONTABO	 DE			
20473   | 108.61.191.75    | US | AS-CHOOPA	 US			
24940   | 65.21.244.161    | DE | HETZNER-AS	 DE			
141995  | 194.233.77.58    | SG | CAPL-AS-AP Contabo Asia Private Limited	 SG			
2856    | 86.185.132.150   | GB | BT-UK-AS BTnet UK Regional network	 GB			
133159  | 203.29.240.197   | AU | MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd	 AU			
133159  | 203.29.241.241   | AU | MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd	 AU			
577     | 174.95.255.249   | CA | BACOM	 CA			
132199  | 222.127.90.186   | PH | GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.	 PH			
12322   | 82.64.215.240    | FR | PROXAD	 FR			
51167   | 194.163.129.101  | DE | CONTABO	 DE			
3352    | 83.32.19.203     | ES | TELEFONICA_DE_ESPANA	 ES			
14618   | 3.223.179.58     | US | AMAZON-AES	 US			
14618   | 34.202.20.6      | US | AMAZON-AES	 US			
42831   | 37.9.56.148      | GB | UKSERVERS-AS UK Dedicated Servers	 Hosting and Co-Location	 GB		
3209    | 95.88.238.200    | DE | VODANET International IP-Backbone of Vodafone	 DE			
14061   | 142.93.240.148   | US | DIGITALOCEAN-ASN	 US			
20001   | 98.154.33.218    | US | TWC-20001-PACWEST	 US			
701     | 72.79.28.179     | US | UUNET	 US			
14061   | 206.189.174.17   | US | DIGITALOCEAN-ASN	 US			
1136    | 86.82.159.154    | NL | KPN KPN National	 NL			
8473    | 158.174.48.208   | GB | BAHNHOF www.bahnhof.net	 SE			
24940   | 168.119.152.155  | DE | HETZNER-AS	 DE			
24940   | 116.203.23.199   | DE | HETZNER-AS	 DE			
8075    | 52.247.225.247   | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
8075    | 40.90.201.180    | US | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
14061   | 68.183.194.220   | US | DIGITALOCEAN-ASN	 US			
14061   | 68.183.229.133   | US | DIGITALOCEAN-ASN	 US			
42666   | 185.163.102.35   | ES | EMBOU Embou Nuevas Tecnologias	 ES			
16509   | 3.112.207.82     | US | AMAZON-02	 US			
16509   | 3.65.197.18      | US | AMAZON-02	 US			
16276   | 51.195.119.181   | FR | OVH	 FR			
396982  | 35.228.55.2      | US | GOOGLE-PRIVATE-CLOUD	 US			
16276   | 51.210.45.207    | FR | OVH	 FR			
396982  | 34.97.65.32      | US | GOOGLE-PRIVATE-CLOUD	 US			
16276   | 51.79.222.251    | CA | OVH	 FR			
14618   | 35.174.184.47    | US | AMAZON-AES	 US			
16276   | 142.44.243.37    | CA | OVH	 FR			
15169   | 34.122.164.86    | US | GOOGLE	 US			
8075    | 51.104.151.110   | GB | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
197540  | 2.56.99.230      | DE | NETCUP-AS netcup GmbH	 DE			
16276   | 149.202.76.119   | FR | OVH	 FR			
396982  | 34.95.40.77      | US | GOOGLE-PRIVATE-CLOUD	 US			
24940   | 157.90.171.45    | DE | HETZNER-AS	 DE			
24940   | 78.46.148.57     | DE | HETZNER-AS	 DE			
51167   | 161.97.171.212   | DE | CONTABO	 DE			
24940   | 78.47.182.188    | DE | HETZNER-AS	 DE			
40021   | 207.244.225.240  | US | CONTABO	 US			
24940   | 49.12.65.19      | DE | HETZNER-AS	 DE			
14061   | 164.90.174.228   | US | DIGITALOCEAN-ASN	 US			
42422   | 46.36.37.145     | CZ | SECURITYNET-AS	 CZ			
8075    | 51.104.150.137   | GB | MICROSOFT-CORP-MSN-AS-BLOCK	 US			
14061   | 164.90.225.174   | US | DIGITALOCEAN-ASN	 US			
14061   | 128.199.108.187  | GB | DIGITALOCEAN-ASN	 US			
24940   | 95.216.222.3     | DE | HETZNER-AS	 DE			
197540  | 185.232.69.164   | AT | NETCUP-AS netcup GmbH	 DE			
15169   | 35.203.30.135    | US | GOOGLE	 US			
24940   | 78.47.82.206     | DE | HETZNER-AS	 DE			
51167   | 161.97.171.211   | DE | CONTABO	 DE			
51167   | 161.97.120.157   | DE | CONTABO	 DE			
14061   | 159.89.116.234   | US | DIGITALOCEAN-ASN	 US			
14061   | 64.227.16.35     | US | DIGITALOCEAN-ASN	 US			
